Name,Author,User Rating,Price,Year,Genre
10-Day Green Smoothie Cleanse,JJ Smith,4.7,8,2016,Non Fiction
11/22/63: A Novel,Stephen King,4.6,22,2011,Fiction
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,4.7,15,2018,Non Fiction
1984 (Signet Classics),George Orwell,4.7,6,2017,Fiction
A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,4.4,11,2011,Fiction
A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R. R. Martin,4.7,30,2014,Fiction
A Gentleman in Moscow: A Novel,Amor Towles,4.7,15,2017,Fiction
A Man Called Ove: A Novel,Fredrik Backman,4.6,8,2017,Fiction
A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Larry Schweikart,4.6,2,2010,Non Fiction
A Stolen Life: A Memoir,Jaycee Dugard,4.6,32,2011,Non Fiction
A Wrinkle in Time (Time Quintet),Madeleine L'Engle,4.5,5,2018,Fiction
Alexander Hamilton,Ron Chernow,4.8,13,2016,Non Fiction
All the Light We Cannot See,Anthony Doerr,4.6,14,2015,Fiction
Allegiant,Veronica Roth,3.9,13,2013,Fiction
American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Chris Kyle,4.6,9,2015,Non Fiction
And the Mountains Echoed,Khaled Hosseini,4.3,13,2013,Fiction
Arguing with Idiots: How to Stop Small Minds and Big Government,Glenn Beck,4.6,5,2009,Non Fiction
Astrophysics for People in a Hurry,Neil deGrasse Tyson,4.7,9,2017,Non Fiction
Baby Touch and Feel: Animals,DK,4.6,5,2015,Non Fiction
Balance (Angie's Extreme Stress Menders),Angie Grace,4.6,11,2015,Non Fiction
Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,Ina Garten,4.8,24,2012,Non Fiction
Becoming,Michelle Obama,4.8,11,2018,Non Fiction
Being Mortal: Medicine and What Matters in the End,Atul Gawande,4.8,15,2015,Non Fiction
Between the World and Me,Ta-Nehisi Coates,4.7,13,2016,Non Fiction
Born to Run,Bruce Springsteen,4.7,18,2016,Non Fiction
Calm the F*ck Down: An Irreverent Adult Coloring Book (Irreverent Book Series),Sasha O'Hara,4.6,4,2016,Non Fiction
